

  0%|▎                                                                                        | 1/250 [00:07<32:42,  7.88s/it, loss_test=1.005]
Epoch: 00, Training Loss: 0.8166, Test Loss: 1.0046

  1%|▋                                                                                        | 2/250 [00:15<32:35,  7.89s/it, loss_test=0.685]

  1%|█                                                                                        | 3/250 [00:23<32:24,  7.87s/it, loss_test=0.639]

  2%|█▍                                                                                       | 4/250 [00:31<32:28,  7.92s/it, loss_test=0.623]

  2%|█▊                                                                                       | 5/250 [00:39<32:12,  7.89s/it, loss_test=0.614]

  2%|██▏                                                                                      | 6/250 [00:47<31:56,  7.85s/it, loss_test=0.609]

  3%|██▍                                                                                      | 7/250 [00:55<31:43,  7.83s/it, loss_test=0.604]

  3%|██▊                                                                                      | 8/250 [01:02<31:33,  7.82s/it, loss_test=0.602]

  4%|███▏                                                                                     | 9/250 [01:10<31:28,  7.84s/it, loss_test=0.599]

  4%|███▌                                                                                    | 10/250 [01:18<31:17,  7.82s/it, loss_test=0.597]


  5%|████▏                                                                                   | 12/250 [01:34<31:07,  7.85s/it, loss_test=0.595]

  5%|████▌                                                                                   | 13/250 [01:42<30:56,  7.83s/it, loss_test=0.594]
Epoch: 12, Training Loss: 0.5812, Test Loss: 0.5939

  6%|████▉                                                                                   | 14/250 [01:49<30:45,  7.82s/it, loss_test=0.592]

  6%|█████▎                                                                                  | 15/250 [01:57<30:38,  7.82s/it, loss_test=0.592]

  6%|█████▋                                                                                  | 16/250 [02:05<30:31,  7.83s/it, loss_test=0.591]

  7%|█████▉                                                                                  | 17/250 [02:13<30:18,  7.81s/it, loss_test=0.591]

  7%|██████▎                                                                                 | 18/250 [02:21<30:10,  7.80s/it, loss_test=0.590]

  8%|██████▋                                                                                 | 19/250 [02:28<30:05,  7.82s/it, loss_test=0.591]

  8%|███████                                                                                 | 20/250 [02:36<29:54,  7.80s/it, loss_test=0.590]

  8%|███████▍                                                                                | 21/250 [02:44<29:51,  7.82s/it, loss_test=0.590]

  9%|███████▋                                                                                | 22/250 [02:52<30:23,  8.00s/it, loss_test=0.589]

  9%|████████                                                                                | 23/250 [03:00<30:05,  7.96s/it, loss_test=0.589]

 10%|████████▍                                                                               | 24/250 [03:08<29:47,  7.91s/it, loss_test=0.589]


 10%|█████████▏                                                                              | 26/250 [03:24<29:30,  7.90s/it, loss_test=0.589]

 11%|█████████▌                                                                              | 27/250 [03:32<29:16,  7.88s/it, loss_test=0.589]
Epoch: 26, Training Loss: 0.5697, Test Loss: 0.5887

 11%|█████████▊                                                                              | 28/250 [03:40<29:04,  7.86s/it, loss_test=0.589]

 12%|██████████▏                                                                             | 29/250 [03:47<28:56,  7.86s/it, loss_test=0.588]

 12%|██████████▌                                                                             | 30/250 [03:55<28:44,  7.84s/it, loss_test=0.589]


 12%|██████████▉                                                                             | 31/250 [04:04<29:59,  8.22s/it, loss_test=0.589]


 13%|███████████▌                                                                            | 33/250 [04:20<28:57,  8.01s/it, loss_test=0.589]

 14%|███████████▉                                                                            | 34/250 [04:28<28:37,  7.95s/it, loss_test=0.589]
Epoch: 33, Training Loss: 0.5662, Test Loss: 0.5891

 14%|████████████▎                                                                           | 35/250 [04:36<28:20,  7.91s/it, loss_test=0.589]

 14%|████████████▋                                                                           | 36/250 [04:43<28:07,  7.88s/it, loss_test=0.590]

 15%|█████████████                                                                           | 37/250 [04:51<27:56,  7.87s/it, loss_test=0.589]

 15%|█████████████▍                                                                          | 38/250 [04:59<27:52,  7.89s/it, loss_test=0.590]

 16%|█████████████▋                                                                          | 39/250 [05:07<27:47,  7.90s/it, loss_test=0.590]

 16%|██████████████                                                                          | 40/250 [05:15<27:30,  7.86s/it, loss_test=0.591]

 16%|██████████████▍                                                                         | 41/250 [05:23<27:20,  7.85s/it, loss_test=0.590]

 17%|██████████████▊                                                                         | 42/250 [05:31<27:14,  7.86s/it, loss_test=0.590]


 17%|███████████████▏                                                                        | 43/250 [05:38<27:04,  7.85s/it, loss_test=0.591]


 18%|███████████████▊                                                                        | 45/250 [05:54<26:48,  7.85s/it, loss_test=0.591]

 18%|████████████████▏                                                                       | 46/250 [06:02<26:42,  7.86s/it, loss_test=0.592]
Epoch: 45, Training Loss: 0.5609, Test Loss: 0.5918

 19%|████████████████▌                                                                       | 47/250 [06:10<26:31,  7.84s/it, loss_test=0.592]

 19%|████████████████▉                                                                       | 48/250 [06:18<26:25,  7.85s/it, loss_test=0.592]

 20%|█████████████████▏                                                                      | 49/250 [06:25<26:15,  7.84s/it, loss_test=0.592]

 20%|█████████████████▌                                                                      | 50/250 [06:33<26:04,  7.82s/it, loss_test=0.593]

 20%|█████████████████▉                                                                      | 51/250 [06:41<25:59,  7.83s/it, loss_test=0.594]

 21%|██████████████████▎                                                                     | 52/250 [06:49<25:55,  7.85s/it, loss_test=0.593]

 21%|██████████████████▋                                                                     | 53/250 [06:57<25:46,  7.85s/it, loss_test=0.594]

 22%|███████████████████                                                                     | 54/250 [07:05<25:35,  7.84s/it, loss_test=0.595]

 22%|███████████████████▎                                                                    | 55/250 [07:12<25:28,  7.84s/it, loss_test=0.595]


 23%|████████████████████                                                                    | 57/250 [07:28<25:14,  7.85s/it, loss_test=0.596]

 23%|████████████████████▍                                                                   | 58/250 [07:36<25:00,  7.81s/it, loss_test=0.596]
Epoch: 57, Training Loss: 0.5561, Test Loss: 0.5956


 24%|████████████████████▊                                                                   | 59/250 [07:45<25:51,  8.12s/it, loss_test=0.596]

 24%|█████████████████████                                                                   | 60/250 [07:53<25:38,  8.09s/it, loss_test=0.597]

 24%|█████████████████████▍                                                                  | 61/250 [08:01<25:18,  8.03s/it, loss_test=0.596]


 25%|██████████████████████▏                                                                 | 63/250 [08:16<24:43,  7.93s/it, loss_test=0.598]

 26%|██████████████████████▌                                                                 | 64/250 [08:24<24:26,  7.88s/it, loss_test=0.598]

 26%|██████████████████████▉                                                                 | 65/250 [08:32<24:20,  7.90s/it, loss_test=0.600]
Epoch: 64, Training Loss: 0.5532, Test Loss: 0.5996

 26%|███████████████████████▏                                                                | 66/250 [08:40<24:09,  7.88s/it, loss_test=0.599]


 27%|███████████████████████▌                                                                | 67/250 [08:49<24:48,  8.14s/it, loss_test=0.600]

 27%|███████████████████████▉                                                                | 68/250 [08:56<24:27,  8.06s/it, loss_test=0.599]


 28%|████████████████████████▋                                                               | 70/250 [09:12<23:57,  7.98s/it, loss_test=0.601]

 28%|████████████████████████▋                                                               | 70/250 [09:20<23:57,  7.98s/it, loss_test=0.601]

 28%|████████████████████████▉                                                               | 71/250 [09:21<24:12,  8.11s/it, loss_test=0.601]


 29%|█████████████████████████▋                                                              | 73/250 [09:36<23:31,  7.97s/it, loss_test=0.602]

 30%|██████████████████████████                                                              | 74/250 [09:44<23:15,  7.93s/it, loss_test=0.603]

 30%|██████████████████████████▍                                                             | 75/250 [09:52<23:11,  7.95s/it, loss_test=0.603]

 30%|██████████████████████████▊                                                             | 76/250 [10:00<22:57,  7.92s/it, loss_test=0.605]
Epoch: 75, Training Loss: 0.5487, Test Loss: 0.6046


 31%|███████████████████████████                                                             | 77/250 [10:09<23:51,  8.27s/it, loss_test=0.603]

 31%|███████████████████████████▍                                                            | 78/250 [10:17<23:23,  8.16s/it, loss_test=0.604]

 32%|███████████████████████████▊                                                            | 79/250 [10:25<22:58,  8.06s/it, loss_test=0.605]

 32%|████████████████████████████▏                                                           | 80/250 [10:33<22:58,  8.11s/it, loss_test=0.604]

 32%|████████████████████████████▌                                                           | 81/250 [10:41<22:33,  8.01s/it, loss_test=0.606]

 33%|████████████████████████████▊                                                           | 82/250 [10:49<22:19,  7.97s/it, loss_test=0.606]


 34%|█████████████████████████████▌                                                          | 84/250 [11:04<21:52,  7.91s/it, loss_test=0.605]

 34%|█████████████████████████████▉                                                          | 85/250 [11:12<21:40,  7.88s/it, loss_test=0.608]

 34%|█████████████████████████████▉                                                          | 85/250 [11:20<21:40,  7.88s/it, loss_test=0.607]


 35%|██████████████████████████████▌                                                         | 87/250 [11:28<21:33,  7.93s/it, loss_test=0.608]

 35%|██████████████████████████████▉                                                         | 88/250 [11:36<21:18,  7.89s/it, loss_test=0.608]
Epoch: 87, Training Loss: 0.5438, Test Loss: 0.6078

 36%|███████████████████████████████▎                                                        | 89/250 [11:44<21:11,  7.90s/it, loss_test=0.610]

 36%|███████████████████████████████▋                                                        | 90/250 [11:52<20:58,  7.87s/it, loss_test=0.610]

 36%|████████████████████████████████                                                        | 91/250 [12:00<20:53,  7.88s/it, loss_test=0.609]

 37%|████████████████████████████████▍                                                       | 92/250 [12:08<20:46,  7.89s/it, loss_test=0.611]

 37%|████████████████████████████████▋                                                       | 93/250 [12:16<20:36,  7.88s/it, loss_test=0.611]

