

  0%|▎                                                                                        | 1/250 [00:03<13:54,  3.35s/it, loss_test=1.006]
Epoch: 00, Training Loss: 0.7700, Test Loss: 1.0063


  1%|█                                                                                        | 3/250 [00:10<13:45,  3.34s/it, loss_test=0.231]
Epoch: 02, Training Loss: 0.1983, Test Loss: 0.2309

  2%|█▍                                                                                       | 4/250 [00:13<13:42,  3.34s/it, loss_test=0.177]


  2%|██▏                                                                                      | 6/250 [00:20<13:35,  3.34s/it, loss_test=0.144]

  3%|██▍                                                                                      | 7/250 [00:23<13:33,  3.35s/it, loss_test=0.136]
Epoch: 06, Training Loss: 0.1325, Test Loss: 0.1362


  4%|███▏                                                                                     | 9/250 [00:30<13:30,  3.36s/it, loss_test=0.123]

  4%|███▌                                                                                    | 10/250 [00:33<13:24,  3.35s/it, loss_test=0.118]
Epoch: 09, Training Loss: 0.1145, Test Loss: 0.1177


  5%|████▏                                                                                   | 12/250 [00:40<13:14,  3.34s/it, loss_test=0.108]

  5%|████▌                                                                                   | 13/250 [00:43<13:13,  3.35s/it, loss_test=0.105]
Epoch: 12, Training Loss: 0.1031, Test Loss: 0.1050


  6%|█████▎                                                                                  | 15/250 [00:50<13:05,  3.34s/it, loss_test=0.100]

  6%|█████▋                                                                                  | 16/250 [00:53<13:03,  3.35s/it, loss_test=0.098]
Epoch: 15, Training Loss: 0.0968, Test Loss: 0.0981


  7%|██████▎                                                                                 | 18/250 [01:00<12:55,  3.34s/it, loss_test=0.095]

  8%|██████▋                                                                                 | 19/250 [01:03<12:58,  3.37s/it, loss_test=0.094]
Epoch: 18, Training Loss: 0.0928, Test Loss: 0.0939

  8%|███████                                                                                 | 20/250 [01:06<12:54,  3.37s/it, loss_test=0.093]


  9%|███████▋                                                                                | 22/250 [01:13<12:46,  3.36s/it, loss_test=0.091]
Epoch: 21, Training Loss: 0.0903, Test Loss: 0.0913


  9%|████████                                                                                | 23/250 [01:20<12:37,  3.34s/it, loss_test=0.090]


 10%|████████▊                                                                               | 25/250 [01:23<12:29,  3.33s/it, loss_test=0.089]
Epoch: 24, Training Loss: 0.0885, Test Loss: 0.0895


 11%|█████████▌                                                                              | 27/250 [01:30<12:20,  3.32s/it, loss_test=0.089]

 11%|█████████▊                                                                              | 28/250 [01:33<12:19,  3.33s/it, loss_test=0.088]
Epoch: 27, Training Loss: 0.0872, Test Loss: 0.0881


 12%|██████████▌                                                                             | 30/250 [01:40<12:13,  3.33s/it, loss_test=0.087]

 12%|██████████▉                                                                             | 31/250 [01:43<12:08,  3.33s/it, loss_test=0.087]
Epoch: 30, Training Loss: 0.0862, Test Loss: 0.0872

