

  0%|▎                                                                                  | 1/250 [00:05<24:24,  5.88s/it, loss_test=1.005]
Epoch: 00, Training Loss: 0.9210, Test Loss: 1.0046

  1%|▋                                                                                  | 2/250 [00:11<24:20,  5.89s/it, loss_test=0.776]

  1%|▉                                                                                  | 3/250 [00:17<24:10,  5.87s/it, loss_test=0.629]

  2%|█▎                                                                                 | 4/250 [00:23<24:14,  5.91s/it, loss_test=0.571]

  2%|█▋                                                                                 | 5/250 [00:29<24:15,  5.94s/it, loss_test=0.539]

  2%|█▉                                                                                 | 6/250 [00:35<24:05,  5.93s/it, loss_test=0.518]

  3%|██▎                                                                                | 7/250 [00:41<24:00,  5.93s/it, loss_test=0.502]

  3%|██▋                                                                                | 8/250 [00:47<23:54,  5.93s/it, loss_test=0.490]

  4%|██▉                                                                                | 9/250 [00:53<23:45,  5.92s/it, loss_test=0.481]

  4%|███▎                                                                              | 10/250 [00:59<23:41,  5.92s/it, loss_test=0.473]

  4%|███▌                                                                              | 11/250 [01:05<23:37,  5.93s/it, loss_test=0.466]

  5%|███▉                                                                              | 12/250 [01:10<23:23,  5.90s/it, loss_test=0.460]

  5%|████▎                                                                             | 13/250 [01:16<23:26,  5.93s/it, loss_test=0.456]

  6%|████▌                                                                             | 14/250 [01:22<23:25,  5.95s/it, loss_test=0.451]

  6%|████▉                                                                             | 15/250 [01:28<23:21,  5.96s/it, loss_test=0.447]

  6%|█████▏                                                                            | 16/250 [01:34<23:14,  5.96s/it, loss_test=0.444]

  7%|█████▌                                                                            | 17/250 [01:40<23:05,  5.95s/it, loss_test=0.441]

  7%|█████▉                                                                            | 18/250 [01:46<22:54,  5.93s/it, loss_test=0.438]

  8%|██████▏                                                                           | 19/250 [01:52<22:45,  5.91s/it, loss_test=0.436]

  8%|██████▌                                                                           | 20/250 [01:58<22:40,  5.92s/it, loss_test=0.434]


  9%|███████▏                                                                          | 22/250 [02:10<22:32,  5.93s/it, loss_test=0.430]

  9%|███████▌                                                                          | 23/250 [02:16<22:17,  5.89s/it, loss_test=0.429]

 10%|███████▊                                                                          | 24/250 [02:22<22:14,  5.91s/it, loss_test=0.428]

 10%|████████▏                                                                         | 25/250 [02:28<22:15,  5.93s/it, loss_test=0.426]

 10%|████████▌                                                                         | 26/250 [02:34<22:19,  5.98s/it, loss_test=0.425]

 11%|████████▊                                                                         | 27/250 [02:40<22:19,  6.01s/it, loss_test=0.424]

 11%|█████████▏                                                                        | 28/250 [02:46<22:01,  5.95s/it, loss_test=0.424]
Epoch: 27, Training Loss: 0.4170, Test Loss: 0.4236

 12%|█████████▌                                                                        | 29/250 [02:52<21:52,  5.94s/it, loss_test=0.423]

 12%|█████████▊                                                                        | 30/250 [02:57<21:45,  5.93s/it, loss_test=0.422]

 12%|██████████▏                                                                       | 31/250 [03:03<21:45,  5.96s/it, loss_test=0.421]

 13%|██████████▍                                                                       | 32/250 [03:09<21:31,  5.92s/it, loss_test=0.421]

 13%|██████████▊                                                                       | 33/250 [03:15<21:29,  5.94s/it, loss_test=0.421]

 14%|███████████▏                                                                      | 34/250 [03:21<21:31,  5.98s/it, loss_test=0.420]

 14%|███████████▍                                                                      | 35/250 [03:27<21:16,  5.94s/it, loss_test=0.420]

 14%|███████████▊                                                                      | 36/250 [03:33<21:07,  5.92s/it, loss_test=0.419]

 15%|████████████▏                                                                     | 37/250 [03:39<21:04,  5.93s/it, loss_test=0.419]

 15%|████████████▍                                                                     | 38/250 [03:45<21:04,  5.96s/it, loss_test=0.418]

 16%|████████████▊                                                                     | 39/250 [03:51<21:06,  6.00s/it, loss_test=0.418]

 16%|█████████████                                                                     | 40/250 [03:57<21:05,  6.02s/it, loss_test=0.418]

 16%|█████████████▍                                                                    | 41/250 [04:03<20:51,  5.99s/it, loss_test=0.418]

 17%|█████████████▊                                                                    | 42/250 [04:09<20:44,  5.99s/it, loss_test=0.417]

 17%|██████████████                                                                    | 43/250 [04:15<20:32,  5.95s/it, loss_test=0.417]

 18%|██████████████▍                                                                   | 44/250 [04:21<20:26,  5.96s/it, loss_test=0.417]

 18%|██████████████▊                                                                   | 45/250 [04:27<20:19,  5.95s/it, loss_test=0.417]

 18%|███████████████                                                                   | 46/250 [04:33<20:11,  5.94s/it, loss_test=0.417]

 19%|███████████████▍                                                                  | 47/250 [04:39<20:00,  5.91s/it, loss_test=0.417]

 19%|███████████████▋                                                                  | 48/250 [04:45<19:50,  5.89s/it, loss_test=0.417]

 20%|████████████████                                                                  | 49/250 [04:51<19:50,  5.92s/it, loss_test=0.416]

 20%|████████████████▍                                                                 | 50/250 [04:57<19:55,  5.98s/it, loss_test=0.416]

 20%|████████████████▋                                                                 | 51/250 [05:03<19:58,  6.02s/it, loss_test=0.416]

 21%|█████████████████                                                                 | 52/250 [05:09<19:50,  6.01s/it, loss_test=0.416]

