Epoch: 00, Training Loss: 0.9954, Test Loss: 1.0781
Epoch: 01, Training Loss: 0.9967, Test Loss: 1.0891
Epoch: 02, Training Loss: 0.9890, Test Loss: 1.0629
Epoch: 03, Training Loss: 0.9914, Test Loss: 1.0725
Epoch: 04, Training Loss: 0.9950, Test Loss: 1.0777
Epoch: 05, Training Loss: 0.9961, Test Loss: 1.0750
Epoch: 06, Training Loss: 0.9898, Test Loss: 1.0759
Epoch: 07, Training Loss: 0.9923, Test Loss: 1.0579
Epoch: 08, Training Loss: 0.9881, Test Loss: 1.0782
Epoch: 09, Training Loss: 0.9907, Test Loss: 1.0736
Epoch: 10, Training Loss: 0.9907, Test Loss: 1.0743
Epoch: 11, Training Loss: 0.9893, Test Loss: 1.0777
Epoch: 12, Training Loss: 0.9899, Test Loss: 1.0793
Epoch: 13, Training Loss: 0.9860, Test Loss: 1.0601
Epoch: 14, Training Loss: 0.9910, Test Loss: 1.0654
Epoch: 15, Training Loss: 0.9875, Test Loss: 1.0624
Epoch: 16, Training Loss: 0.9858, Test Loss: 1.0781
Epoch: 17, Training Loss: 0.9875, Test Loss: 1.0881
Epoch: 18, Training Loss: 0.9857, Test Loss: 1.0828
Epoch: 19, Training Loss: 0.9828, Test Loss: 1.0674
Epoch: 20, Training Loss: 0.9837, Test Loss: 1.0896
Epoch: 21, Training Loss: 0.9858, Test Loss: 1.0686
Epoch: 22, Training Loss: 0.9918, Test Loss: 1.0713
Epoch: 23, Training Loss: 0.9868, Test Loss: 1.0777
Epoch: 24, Training Loss: 0.9812, Test Loss: 1.0739
Epoch: 25, Training Loss: 0.9807, Test Loss: 1.0805
Epoch: 26, Training Loss: 0.9800, Test Loss: 1.0822
Epoch: 27, Training Loss: 0.9748, Test Loss: 1.0719
Epoch: 28, Training Loss: 0.9771, Test Loss: 1.0802
Epoch: 29, Training Loss: 0.9739, Test Loss: 1.0721
Epoch: 30, Training Loss: 0.9770, Test Loss: 1.0804
Epoch: 31, Training Loss: 0.9748, Test Loss: 1.0704
Epoch: 32, Training Loss: 0.9681, Test Loss: 1.0766
Epoch: 33, Training Loss: 0.9608, Test Loss: 1.0715
Epoch: 34, Training Loss: 0.9496, Test Loss: 1.0782
Epoch: 35, Training Loss: 0.9472, Test Loss: 1.0466
Epoch: 36, Training Loss: 0.9387, Test Loss: 1.0379
Epoch: 37, Training Loss: 0.9316, Test Loss: 1.0528
Epoch: 38, Training Loss: 0.9263, Test Loss: 1.0359
Epoch: 39, Training Loss: 0.9184, Test Loss: 1.0208
Epoch: 40, Training Loss: 0.9143, Test Loss: 1.0389
Epoch: 41, Training Loss: 0.9081, Test Loss: 1.0404
Epoch: 42, Training Loss: 0.9051, Test Loss: 1.0344
Epoch: 43, Training Loss: 0.9008, Test Loss: 1.0303
Epoch: 44, Training Loss: 0.8936, Test Loss: 1.0137
Epoch: 45, Training Loss: 0.8933, Test Loss: 1.0102
Epoch: 46, Training Loss: 0.8864, Test Loss: 0.9961
Epoch: 47, Training Loss: 0.8800, Test Loss: 1.0103
Epoch: 48, Training Loss: 0.8816, Test Loss: 1.0096
Epoch: 49, Training Loss: 0.8764, Test Loss: 0.9984
Epoch: 50, Training Loss: 0.8726, Test Loss: 0.9766
Epoch: 51, Training Loss: 0.8704, Test Loss: 0.9955
Epoch: 52, Training Loss: 0.8638, Test Loss: 0.9566
Epoch: 53, Training Loss: 0.8604, Test Loss: 0.9841
Epoch: 54, Training Loss: 0.8558, Test Loss: 0.9643
Epoch: 55, Training Loss: 0.8564, Test Loss: 0.9786
Epoch: 56, Training Loss: 0.8524, Test Loss: 0.9652
Epoch: 57, Training Loss: 0.8507, Test Loss: 0.9610
Epoch: 58, Training Loss: 0.8478, Test Loss: 0.9638
Epoch: 59, Training Loss: 0.8458, Test Loss: 0.9569
Epoch: 60, Training Loss: 0.8404, Test Loss: 0.9587
Epoch: 61, Training Loss: 0.8376, Test Loss: 0.9653
