Epoch: 00, Training Loss: 0.9896, Test Loss: 1.0890
Epoch: 01, Training Loss: 0.9967, Test Loss: 1.0697
Epoch: 02, Training Loss: 0.9945, Test Loss: 1.0814
Epoch: 03, Training Loss: 0.9968, Test Loss: 1.0803
Epoch: 04, Training Loss: 0.9909, Test Loss: 1.0867
Epoch: 05, Training Loss: 0.9934, Test Loss: 1.0829
Epoch: 06, Training Loss: 0.9910, Test Loss: 1.0801
Epoch: 07, Training Loss: 0.9878, Test Loss: 1.0911
Epoch: 08, Training Loss: 0.9882, Test Loss: 1.0881
Epoch: 09, Training Loss: 0.9898, Test Loss: 1.0733
Epoch: 10, Training Loss: 0.9871, Test Loss: 1.0769
Epoch: 11, Training Loss: 0.9861, Test Loss: 1.0797
Epoch: 12, Training Loss: 0.9860, Test Loss: 1.0883
Epoch: 13, Training Loss: 0.9908, Test Loss: 1.0862
Epoch: 14, Training Loss: 0.9840, Test Loss: 1.0695
Epoch: 15, Training Loss: 0.9854, Test Loss: 1.0808
Epoch: 16, Training Loss: 0.9905, Test Loss: 1.0823
Epoch: 17, Training Loss: 0.9884, Test Loss: 1.0793
Epoch: 18, Training Loss: 0.9862, Test Loss: 1.0899
Epoch: 19, Training Loss: 0.9871, Test Loss: 1.0892
  8%|███████▊                                                                                          | 20/250 [00:01<00:19, 12.04it/s, loss_test=1.089]
Epoch: 20, Training Loss: 0.9848, Test Loss: 1.0745
Epoch: 21, Training Loss: 0.9874, Test Loss: 1.0719
Epoch: 22, Training Loss: 0.9807, Test Loss: 1.0828
Epoch: 23, Training Loss: 0.9804, Test Loss: 1.0912
Epoch: 24, Training Loss: 0.9811, Test Loss: 1.0748
Epoch: 25, Training Loss: 0.9774, Test Loss: 1.0840
Epoch: 26, Training Loss: 0.9805, Test Loss: 1.0714
Epoch: 27, Training Loss: 0.9818, Test Loss: 1.0841
Epoch: 28, Training Loss: 0.9767, Test Loss: 1.0947
Epoch: 29, Training Loss: 0.9729, Test Loss: 1.0709
Epoch: 30, Training Loss: 0.9682, Test Loss: 1.0734
Epoch: 31, Training Loss: 0.9623, Test Loss: 1.0588
Epoch: 32, Training Loss: 0.9519, Test Loss: 1.0470
Epoch: 33, Training Loss: 0.9426, Test Loss: 1.0350
