Epoch: 00, Training Loss: 0.9993, Test Loss: 1.0658
Epoch: 01, Training Loss: 0.9915, Test Loss: 1.0750
Epoch: 02, Training Loss: 0.9908, Test Loss: 1.0881
Epoch: 03, Training Loss: 0.9923, Test Loss: 1.0912
Epoch: 04, Training Loss: 0.9924, Test Loss: 1.0803
Epoch: 05, Training Loss: 0.9914, Test Loss: 1.0811
Epoch: 06, Training Loss: 0.9911, Test Loss: 1.0886
Epoch: 07, Training Loss: 0.9937, Test Loss: 1.0833
Epoch: 08, Training Loss: 0.9881, Test Loss: 1.0643
Epoch: 09, Training Loss: 0.9883, Test Loss: 1.0634
Epoch: 10, Training Loss: 0.9865, Test Loss: 1.0777
Epoch: 11, Training Loss: 0.9892, Test Loss: 1.0704
Epoch: 12, Training Loss: 0.9882, Test Loss: 1.0878
Epoch: 13, Training Loss: 0.9866, Test Loss: 1.0720
Epoch: 14, Training Loss: 0.9860, Test Loss: 1.0963
Epoch: 15, Training Loss: 0.9883, Test Loss: 1.0853
Epoch: 16, Training Loss: 0.9862, Test Loss: 1.0568
Epoch: 17, Training Loss: 0.9882, Test Loss: 1.0762
Epoch: 18, Training Loss: 0.9878, Test Loss: 1.0724
Epoch: 19, Training Loss: 0.9888, Test Loss: 1.0596
Epoch: 20, Training Loss: 0.9906, Test Loss: 1.0737
 20%|███████████████████▌                                                                              | 20/100 [00:01<00:06, 11.86it/s, loss_test=1.074]
Epoch: 21, Training Loss: 0.9845, Test Loss: 1.0853
Epoch: 22, Training Loss: 0.9845, Test Loss: 1.0925
Epoch: 23, Training Loss: 0.9837, Test Loss: 1.0764
Epoch: 24, Training Loss: 0.9859, Test Loss: 1.0693
Epoch: 25, Training Loss: 0.9846, Test Loss: 1.0745
Epoch: 26, Training Loss: 0.9806, Test Loss: 1.0669
Epoch: 27, Training Loss: 0.9806, Test Loss: 1.0828
Epoch: 28, Training Loss: 0.9812, Test Loss: 1.0643
Epoch: 29, Training Loss: 0.9792, Test Loss: 1.0972
Epoch: 30, Training Loss: 0.9805, Test Loss: 1.0782
Epoch: 31, Training Loss: 0.9762, Test Loss: 1.0656
Epoch: 32, Training Loss: 0.9700, Test Loss: 1.0804
Epoch: 33, Training Loss: 0.9690, Test Loss: 1.0732
Epoch: 34, Training Loss: 0.9652, Test Loss: 1.0799
Epoch: 35, Training Loss: 0.9577, Test Loss: 1.0756
Epoch: 36, Training Loss: 0.9488, Test Loss: 1.0782
Epoch: 37, Training Loss: 0.9375, Test Loss: 1.0604
Epoch: 38, Training Loss: 0.9376, Test Loss: 1.0508
Epoch: 39, Training Loss: 0.9295, Test Loss: 1.0687
Epoch: 40, Training Loss: 0.9164, Test Loss: 1.0308
Epoch: 41, Training Loss: 0.9117, Test Loss: 1.0547
Epoch: 42, Training Loss: 0.9147, Test Loss: 1.0308
Epoch: 43, Training Loss: 0.9045, Test Loss: 1.0370
Epoch: 44, Training Loss: 0.8979, Test Loss: 1.0354

