Epoch: 00, Training Loss: 0.9943, Test Loss: 1.0791
Epoch: 01, Training Loss: 0.9953, Test Loss: 1.0692
Epoch: 02, Training Loss: 0.9909, Test Loss: 1.0680
Epoch: 03, Training Loss: 0.9938, Test Loss: 1.0755
Epoch: 04, Training Loss: 0.9872, Test Loss: 1.0994
Epoch: 05, Training Loss: 0.9862, Test Loss: 1.0654
Epoch: 06, Training Loss: 0.9903, Test Loss: 1.0862
Epoch: 07, Training Loss: 0.9921, Test Loss: 1.0816
Epoch: 08, Training Loss: 0.9902, Test Loss: 1.0786
Epoch: 09, Training Loss: 0.9843, Test Loss: 1.0680
Epoch: 10, Training Loss: 0.9893, Test Loss: 1.0823
Epoch: 11, Training Loss: 0.9934, Test Loss: 1.0655
Epoch: 12, Training Loss: 0.9857, Test Loss: 1.0821
Epoch: 13, Training Loss: 0.9864, Test Loss: 1.0733
Epoch: 14, Training Loss: 0.9899, Test Loss: 1.0821
Epoch: 15, Training Loss: 0.9888, Test Loss: 1.0788
Epoch: 16, Training Loss: 0.9842, Test Loss: 1.0766
Epoch: 17, Training Loss: 0.9884, Test Loss: 1.0782
Epoch: 18, Training Loss: 0.9844, Test Loss: 1.0922
Epoch: 19, Training Loss: 0.9801, Test Loss: 1.0876
Epoch: 20, Training Loss: 0.9871, Test Loss: 1.0662
 20%|███████████████████▌                                                                              | 20/100 [00:01<00:06, 11.86it/s, loss_test=1.088]
Epoch: 21, Training Loss: 0.9857, Test Loss: 1.0852
Epoch: 22, Training Loss: 0.9850, Test Loss: 1.0782
Epoch: 23, Training Loss: 0.9810, Test Loss: 1.0867
Epoch: 24, Training Loss: 0.9819, Test Loss: 1.0826
Epoch: 25, Training Loss: 0.9829, Test Loss: 1.0746
Epoch: 26, Training Loss: 0.9840, Test Loss: 1.0919
Epoch: 27, Training Loss: 0.9766, Test Loss: 1.0917
Epoch: 28, Training Loss: 0.9789, Test Loss: 1.0827
Epoch: 29, Training Loss: 0.9803, Test Loss: 1.0777
Epoch: 30, Training Loss: 0.9762, Test Loss: 1.0663
Epoch: 31, Training Loss: 0.9748, Test Loss: 1.0525
Epoch: 32, Training Loss: 0.9688, Test Loss: 1.0493
Epoch: 33, Training Loss: 0.9602, Test Loss: 1.0650
Epoch: 34, Training Loss: 0.9499, Test Loss: 1.0437
Epoch: 35, Training Loss: 0.9402, Test Loss: 1.0345
Epoch: 36, Training Loss: 0.9372, Test Loss: 1.0312
Epoch: 37, Training Loss: 0.9245, Test Loss: 1.0146
Epoch: 38, Training Loss: 0.9220, Test Loss: 1.0039
Epoch: 39, Training Loss: 0.9110, Test Loss: 0.9938
Epoch: 40, Training Loss: 0.9129, Test Loss: 0.9848
Epoch: 41, Training Loss: 0.9081, Test Loss: 0.9952
Epoch: 42, Training Loss: 0.9004, Test Loss: 0.9830
Epoch: 43, Training Loss: 0.8937, Test Loss: 0.9882

 44%|███████████████████████████████████████████                                                       | 44/100 [00:03<00:04, 12.49it/s, loss_test=0.959]
Epoch: 45, Training Loss: 0.8879, Test Loss: 0.9718
Epoch: 46, Training Loss: 0.8826, Test Loss: 0.9814
Epoch: 47, Training Loss: 0.8766, Test Loss: 0.9617
Epoch: 48, Training Loss: 0.8760, Test Loss: 0.9677
Epoch: 49, Training Loss: 0.8718, Test Loss: 0.9607
Epoch: 50, Training Loss: 0.8678, Test Loss: 0.9566
Epoch: 51, Training Loss: 0.8651, Test Loss: 0.9521
Epoch: 52, Training Loss: 0.8629, Test Loss: 0.9411
Epoch: 53, Training Loss: 0.8581, Test Loss: 0.9593
Epoch: 54, Training Loss: 0.8510, Test Loss: 0.9528
Epoch: 55, Training Loss: 0.8451, Test Loss: 0.9360
Epoch: 56, Training Loss: 0.8469, Test Loss: 0.9466
Epoch: 57, Training Loss: 0.8397, Test Loss: 0.9542
Epoch: 58, Training Loss: 0.8358, Test Loss: 0.9448
Epoch: 59, Training Loss: 0.8284, Test Loss: 0.9459
Epoch: 60, Training Loss: 0.8308, Test Loss: 0.9174
Epoch: 61, Training Loss: 0.8280, Test Loss: 0.9242
Epoch: 62, Training Loss: 0.8240, Test Loss: 0.9248
Epoch: 63, Training Loss: 0.8216, Test Loss: 0.9310
Epoch: 64, Training Loss: 0.8179, Test Loss: 0.9317
Epoch: 65, Training Loss: 0.8128, Test Loss: 0.9141
Epoch: 66, Training Loss: 0.8108, Test Loss: 0.9436
Epoch: 67, Training Loss: 0.8094, Test Loss: 0.9229
Epoch: 68, Training Loss: 0.8034, Test Loss: 0.9118


 92%|██████████████████████████████████████████████████████████████████████████████████████████▏       | 92/100 [00:07<00:00, 11.94it/s, loss_test=0.881]
Epoch: 70, Training Loss: 0.7999, Test Loss: 0.9210
Epoch: 71, Training Loss: 0.7932, Test Loss: 0.9351
Epoch: 72, Training Loss: 0.7881, Test Loss: 0.9125
Epoch: 73, Training Loss: 0.7849, Test Loss: 0.9061
Epoch: 74, Training Loss: 0.7805, Test Loss: 0.9078
Epoch: 75, Training Loss: 0.7796, Test Loss: 0.8982
Epoch: 76, Training Loss: 0.7748, Test Loss: 0.9156
Epoch: 77, Training Loss: 0.7685, Test Loss: 0.9194
Epoch: 78, Training Loss: 0.7632, Test Loss: 0.9088
Epoch: 79, Training Loss: 0.7590, Test Loss: 0.9032
Epoch: 80, Training Loss: 0.7547, Test Loss: 0.8986
Epoch: 81, Training Loss: 0.7501, Test Loss: 0.8971
Epoch: 82, Training Loss: 0.7467, Test Loss: 0.9066
Epoch: 83, Training Loss: 0.7398, Test Loss: 0.8981
Epoch: 84, Training Loss: 0.7374, Test Loss: 0.9039
Epoch: 85, Training Loss: 0.7344, Test Loss: 0.9044
Epoch: 86, Training Loss: 0.7298, Test Loss: 0.8955
Epoch: 87, Training Loss: 0.7248, Test Loss: 0.8993
Epoch: 88, Training Loss: 0.7189, Test Loss: 0.8911
Epoch: 89, Training Loss: 0.7147, Test Loss: 0.8979
Epoch: 90, Training Loss: 0.7106, Test Loss: 0.9034
Epoch: 91, Training Loss: 0.7058, Test Loss: 0.9117

100%|█████████████████████████████████████████████████████████████████████████████████████████████████| 100/100 [00:08<00:00, 12.00it/s, loss_test=0.899]
Epoch: 93, Training Loss: 0.6980, Test Loss: 0.8993
Epoch: 94, Training Loss: 0.6937, Test Loss: 0.9079
Epoch: 95, Training Loss: 0.6890, Test Loss: 0.9018
Epoch: 96, Training Loss: 0.6848, Test Loss: 0.9015
Epoch: 97, Training Loss: 0.6797, Test Loss: 0.8923
Epoch: 98, Training Loss: 0.6769, Test Loss: 0.8993
Epoch: 99, Training Loss: 0.6737, Test Loss: 0.8992
Model saved as model_536230np.pt
