Epoch: 00, Training Loss: 0.9978, Test Loss: 1.0702
Epoch: 01, Training Loss: 0.9950, Test Loss: 1.0823
Epoch: 02, Training Loss: 0.9895, Test Loss: 1.0861
Epoch: 03, Training Loss: 0.9883, Test Loss: 1.0851
Epoch: 04, Training Loss: 0.9928, Test Loss: 1.0654
Epoch: 05, Training Loss: 0.9950, Test Loss: 1.0848
Epoch: 06, Training Loss: 0.9934, Test Loss: 1.0776
Epoch: 07, Training Loss: 0.9920, Test Loss: 1.0903
Epoch: 08, Training Loss: 0.9897, Test Loss: 1.0866
Epoch: 09, Training Loss: 0.9968, Test Loss: 1.0753
Epoch: 10, Training Loss: 0.9880, Test Loss: 1.0935
Epoch: 11, Training Loss: 0.9896, Test Loss: 1.0894
Epoch: 12, Training Loss: 0.9863, Test Loss: 1.0800
Epoch: 13, Training Loss: 0.9874, Test Loss: 1.0728
Epoch: 14, Training Loss: 0.9862, Test Loss: 1.0756
Epoch: 15, Training Loss: 0.9890, Test Loss: 1.0692
Epoch: 16, Training Loss: 0.9835, Test Loss: 1.0729
Epoch: 17, Training Loss: 0.9885, Test Loss: 1.0637
Epoch: 18, Training Loss: 0.9905, Test Loss: 1.0820
Epoch: 19, Training Loss: 0.9860, Test Loss: 1.0853

 45%|████████████████████████████████████████████                                                      | 45/100 [00:03<00:04, 11.94it/s, loss_test=0.979]
Epoch: 20, Training Loss: 0.9860, Test Loss: 1.0855
Epoch: 21, Training Loss: 0.9810, Test Loss: 1.0721
Epoch: 22, Training Loss: 0.9836, Test Loss: 1.0932
Epoch: 23, Training Loss: 0.9846, Test Loss: 1.0917
Epoch: 24, Training Loss: 0.9805, Test Loss: 1.0929
Epoch: 25, Training Loss: 0.9846, Test Loss: 1.0906
Epoch: 26, Training Loss: 0.9801, Test Loss: 1.0725
Epoch: 27, Training Loss: 0.9770, Test Loss: 1.0886
Epoch: 28, Training Loss: 0.9815, Test Loss: 1.0754
Epoch: 29, Training Loss: 0.9774, Test Loss: 1.0719
Epoch: 30, Training Loss: 0.9719, Test Loss: 1.0749
Epoch: 31, Training Loss: 0.9719, Test Loss: 1.0641
Epoch: 32, Training Loss: 0.9652, Test Loss: 1.0567
Epoch: 33, Training Loss: 0.9610, Test Loss: 1.0723
Epoch: 34, Training Loss: 0.9496, Test Loss: 1.0605
Epoch: 35, Training Loss: 0.9482, Test Loss: 1.0336
Epoch: 36, Training Loss: 0.9393, Test Loss: 1.0408
Epoch: 37, Training Loss: 0.9348, Test Loss: 1.0292
Epoch: 38, Training Loss: 0.9241, Test Loss: 1.0125
Epoch: 39, Training Loss: 0.9176, Test Loss: 1.0249
Epoch: 40, Training Loss: 0.9133, Test Loss: 1.0050
Epoch: 41, Training Loss: 0.9055, Test Loss: 1.0054
Epoch: 42, Training Loss: 0.8920, Test Loss: 0.9936
Epoch: 43, Training Loss: 0.8971, Test Loss: 0.9883
Epoch: 44, Training Loss: 0.8896, Test Loss: 0.9785

 69%|███████████████████████████████████████████████████████████████████▌                              | 69/100 [00:05<00:02, 11.48it/s, loss_test=0.941]
Epoch: 46, Training Loss: 0.8790, Test Loss: 0.9568
Epoch: 47, Training Loss: 0.8731, Test Loss: 0.9626
Epoch: 48, Training Loss: 0.8619, Test Loss: 0.9777
Epoch: 49, Training Loss: 0.8612, Test Loss: 0.9632
Epoch: 50, Training Loss: 0.8575, Test Loss: 0.9644
Epoch: 51, Training Loss: 0.8557, Test Loss: 0.9556
Epoch: 52, Training Loss: 0.8443, Test Loss: 0.9577
Epoch: 53, Training Loss: 0.8422, Test Loss: 0.9579
Epoch: 54, Training Loss: 0.8435, Test Loss: 0.9440
Epoch: 55, Training Loss: 0.8357, Test Loss: 0.9575
Epoch: 56, Training Loss: 0.8329, Test Loss: 0.9560
