Epoch: 00, Training Loss: 0.9941, Test Loss: 1.0766
Epoch: 01, Training Loss: 0.9933, Test Loss: 1.0880
Epoch: 02, Training Loss: 0.9901, Test Loss: 1.0738
Epoch: 03, Training Loss: 0.9977, Test Loss: 1.0700
Epoch: 04, Training Loss: 0.9946, Test Loss: 1.0745
Epoch: 05, Training Loss: 0.9897, Test Loss: 1.0938
Epoch: 06, Training Loss: 0.9952, Test Loss: 1.0774
Epoch: 07, Training Loss: 0.9864, Test Loss: 1.0818
Epoch: 08, Training Loss: 0.9922, Test Loss: 1.0850
Epoch: 09, Training Loss: 0.9885, Test Loss: 1.0789
Epoch: 10, Training Loss: 0.9880, Test Loss: 1.0817
Epoch: 11, Training Loss: 0.9932, Test Loss: 1.0879
Epoch: 12, Training Loss: 0.9859, Test Loss: 1.0760
Epoch: 13, Training Loss: 0.9872, Test Loss: 1.0724
Epoch: 14, Training Loss: 0.9872, Test Loss: 1.0847
Epoch: 15, Training Loss: 0.9924, Test Loss: 1.0784
Epoch: 16, Training Loss: 0.9865, Test Loss: 1.0834
Epoch: 17, Training Loss: 0.9897, Test Loss: 1.0820
Epoch: 18, Training Loss: 0.9887, Test Loss: 1.0808
Epoch: 19, Training Loss: 0.9837, Test Loss: 1.0792
Epoch: 20, Training Loss: 0.9881, Test Loss: 1.0755
Epoch: 21, Training Loss: 0.9846, Test Loss: 1.0860
 20%|███████████████████▌                                                                              | 20/100 [00:01<00:06, 12.44it/s, loss_test=1.086]
Epoch: 22, Training Loss: 0.9821, Test Loss: 1.0797
Epoch: 23, Training Loss: 0.9835, Test Loss: 1.0802
Epoch: 24, Training Loss: 0.9801, Test Loss: 1.0947
Epoch: 25, Training Loss: 0.9845, Test Loss: 1.0791
Epoch: 26, Training Loss: 0.9854, Test Loss: 1.0794
Epoch: 27, Training Loss: 0.9807, Test Loss: 1.0798
Epoch: 28, Training Loss: 0.9778, Test Loss: 1.0895
Epoch: 29, Training Loss: 0.9788, Test Loss: 1.0781
Epoch: 30, Training Loss: 0.9755, Test Loss: 1.0930
Epoch: 31, Training Loss: 0.9742, Test Loss: 1.0677
Epoch: 32, Training Loss: 0.9634, Test Loss: 1.0783
Epoch: 33, Training Loss: 0.9636, Test Loss: 1.0621
Epoch: 34, Training Loss: 0.9525, Test Loss: 1.0501
Epoch: 35, Training Loss: 0.9497, Test Loss: 1.0624
Epoch: 36, Training Loss: 0.9464, Test Loss: 1.0640
Epoch: 37, Training Loss: 0.9391, Test Loss: 1.0518
Epoch: 38, Training Loss: 0.9308, Test Loss: 1.0453
Epoch: 39, Training Loss: 0.9199, Test Loss: 1.0309
Epoch: 40, Training Loss: 0.9169, Test Loss: 1.0241
Epoch: 41, Training Loss: 0.9070, Test Loss: 1.0020
