

  3%|██▊                                                                                 | 1/30 [00:05<02:38,  5.46s/it, loss_test=1.006]
Epoch: 00, Training Loss: 0.8175, Test Loss: 1.0060

  7%|█████▌                                                                              | 2/30 [00:10<02:33,  5.47s/it, loss_test=0.638]


 13%|███████████▏                                                                        | 4/30 [00:21<02:22,  5.50s/it, loss_test=0.502]
Epoch: 03, Training Loss: 0.4864, Test Loss: 0.5024

 17%|██████████████                                                                      | 5/30 [00:27<02:17,  5.49s/it, loss_test=0.481]

 20%|████████████████▊                                                                   | 6/30 [00:32<02:11,  5.49s/it, loss_test=0.466]


 27%|██████████████████████▍                                                             | 8/30 [00:43<02:01,  5.50s/it, loss_test=0.448]
Epoch: 07, Training Loss: 0.4393, Test Loss: 0.4478

 30%|█████████████████████████▏                                                          | 9/30 [00:49<01:55,  5.49s/it, loss_test=0.442]

 33%|███████████████████████████▋                                                       | 10/30 [00:54<01:49,  5.48s/it, loss_test=0.438]


 40%|█████████████████████████████████▏                                                 | 12/30 [01:05<01:39,  5.50s/it, loss_test=0.431]
Epoch: 11, Training Loss: 0.4237, Test Loss: 0.4313

 43%|███████████████████████████████████▉                                               | 13/30 [01:11<01:33,  5.50s/it, loss_test=0.429]


 50%|█████████████████████████████████████████▌                                         | 15/30 [01:22<01:22,  5.48s/it, loss_test=0.426]

 53%|████████████████████████████████████████████▎                                      | 16/30 [01:27<01:16,  5.48s/it, loss_test=0.425]
Epoch: 15, Training Loss: 0.4170, Test Loss: 0.4246

 57%|███████████████████████████████████████████████                                    | 17/30 [01:33<01:11,  5.48s/it, loss_test=0.424]


 63%|████████████████████████████████████████████████████▌                              | 19/30 [01:44<01:00,  5.46s/it, loss_test=0.423]

 67%|███████████████████████████████████████████████████████▎                           | 20/30 [01:49<00:54,  5.47s/it, loss_test=0.422]
Epoch: 19, Training Loss: 0.4135, Test Loss: 0.4216

 70%|██████████████████████████████████████████████████████████                         | 21/30 [01:55<00:49,  5.48s/it, loss_test=0.421]


 77%|███████████████████████████████████████████████████████████████▋                   | 23/30 [02:06<00:38,  5.47s/it, loss_test=0.421]
Epoch: 22, Training Loss: 0.4117, Test Loss: 0.4206

 80%|██████████████████████████████████████████████████████████████████▍                | 24/30 [02:11<00:32,  5.47s/it, loss_test=0.420]

 83%|█████████████████████████████████████████████████████████████████████▏             | 25/30 [02:16<00:27,  5.46s/it, loss_test=0.420]


 90%|██████████████████████████████████████████████████████████████████████████▋        | 27/30 [02:27<00:16,  5.47s/it, loss_test=0.420]
Epoch: 26, Training Loss: 0.4100, Test Loss: 0.4196

 93%|█████████████████████████████████████████████████████████████████████████████▍     | 28/30 [02:33<00:10,  5.47s/it, loss_test=0.419]


100%|███████████████████████████████████████████████████████████████████████████████████| 30/30 [02:44<00:00,  5.48s/it, loss_test=0.419]
Epoch: 29, Training Loss: 0.4089, Test Loss: 0.4190
Model saved as model_6941530np.pt
Config : {'wandb': True, 'name': 'lstm-enc-dec-0.0001-4-6100000-6941530np', 'num_features': 30, 'hidden_size': 128, 'dropout': 0, 'weight_decay': 0, 'input_window': 4, 'output_window': 6, 'learning_rate': 0.0001, 'num_layers': 1, 'num_epochs': 30, 'batch_size': 128, 'train_data_len': 200000, 'training_prediction': 'recursive', 'loss_type': 'MSE', 'model_label': 'ENC-DEC-30E-HORIZON', 'teacher_forcing_ratio': -4.198030811863873e-16, 'dynamic_tf': True, 'shuffle': True, 'one_hot_month': False, 'num_of_weigths': 1414, 'num_of_params': 217886, 'loss_train': [0.8175334002508785, 0.5748327367908352, 0.5155047342017457, 0.48641655640506043, 0.4680477872545466, 0.4555335154026856, 0.4463159163574596, 0.4393325647810003, 0.4338844025528038, 0.42962310624209954, 0.4262922451500491, 0.4236873631184791, 0.42142666254069777, 0.41969336301852495, 0.41817875795966974, 0.41697788265816893, 0.41585769545245954, 0.41501894020117247, 0.4141625286021949, 0.41345536152085105, 0.4128261251654817, 0.41222919119801715, 0.41174258641052597, 0.4112265394393341, 0.41074694567547615, 0.41034347664960574, 0.40996440055169464, 0.4096360417294415, 0.4092931206518914, 0.4089267344483526], 'loss_test': [1.0059870019173012, 0.6377762823532789, 0.5398861792607185, 0.5023645542753048, 0.48051900932422054, 0.4663085517210838, 0.4560543552805216, 0.44784844876864016, 0.44209790038756835, 0.4375156122140395, 0.4341526239728316, 0.4312923579261853, 0.42879400555139935, 0.4274643714993428, 0.42596309460126436, 0.42464187836799866, 0.42364767537667203, 0.42288357153152806, 0.4225412549880835, 0.4216086621849965, 0.42122859947192365, 0.42106227099131316, 0.42057867577442754, 0.4199232153403453, 0.4197346522257878, 0.41960932868413436, 0.4195925480662248, 0.4192563016445209, 0.419150940882854, 0.41904444686877423], 'identifier': '6941530np'}
