Output window: 1, Loss: 0.31797398706632
Output window: 2, Loss: 0.5269662868231535
Output window: 3, Loss: 0.6606002769299916
Output window: 4, Loss: 0.7544399829847472
Output window: 5, Loss: 0.825912322316851
Output window: 6, Loss: 0.88538879688297
Output window: 7, Loss: 0.9319129926817757
Output window: 8, Loss: 0.9658041058906487
Output window: 9, Loss: 0.9904105679265091
Output window: 10, Loss: 1.0100873783230782
Output window: 11, Loss: 1.0263618459658963
Output window: 12, Loss: 1.0400090829602309
Output window: 13, Loss: 1.052382713449853
Output window: 14, Loss: 1.0619006039840835
Output window: 15, Loss: 1.068898681551218
Output window: 16, Loss: 1.0749674684235029
Output window: 17, Loss: 1.0792044645973615
Output window: 18, Loss: 1.082983497530222
Output window: 19, Loss: 1.085952763046537
Output window: 20, Loss: 1.088916941945042
Output window: 21, Loss: 1.0921259761920996
Output window: 22, Loss: 1.094752047743116
Output window: 23, Loss: 1.096552730670997
Output window: 24, Loss: 1.1000396609306335
