Output window: 1, Loss: 0.350416647536414
Output window: 2, Loss: 0.5485333244183234
Output window: 3, Loss: 0.6777725853025913
Output window: 4, Loss: 0.7710270769894123
Output window: 5, Loss: 0.8421976119279861
Output window: 6, Loss: 0.8989493133766311
Output window: 7, Loss: 0.9466995235000338
Output window: 8, Loss: 0.984403775206634
Output window: 9, Loss: 1.0126644005732877
Output window: 10, Loss: 1.0342640802264214
Output window: 11, Loss: 1.052000100591353
Output window: 12, Loss: 1.0668305004281657
Output window: 13, Loss: 1.078634221638952
Output window: 14, Loss: 1.0884837018592017
Output window: 15, Loss: 1.0956982086811746
Output window: 16, Loss: 1.102177514561585
Output window: 17, Loss: 1.1068226546049118
Output window: 18, Loss: 1.1118430910365922
Output window: 19, Loss: 1.1164720984441894
Output window: 20, Loss: 1.1205587216785975
Output window: 21, Loss: 1.125524983874389
Output window: 22, Loss: 1.1303241646715574
Output window: 23, Loss: 1.1347126279558455
Output window: 24, Loss: 1.1388862015945571
