Output window: 1, Loss: 0.3429194792572941
Output window: 2, Loss: 0.5470177265150207
Output window: 3, Loss: 0.664591307086604
Output window: 4, Loss: 0.7437839194067887
Output window: 5, Loss: 0.800226551081453
Output window: 6, Loss: 0.8421301628862109
Output window: 7, Loss: 0.8743452227541378
Output window: 8, Loss: 0.8972799671547753
Output window: 9, Loss: 0.9125819360571248
Output window: 10, Loss: 0.9236529080995491
Output window: 11, Loss: 0.9337416253983974
Output window: 12, Loss: 0.9438598044216633
Output window: 13, Loss: 0.9528621429843562
Output window: 14, Loss: 0.9597399474254676
Output window: 15, Loss: 0.9637620773698602
Output window: 16, Loss: 0.9675062032682555
Output window: 17, Loss: 0.9711929133960179
Output window: 18, Loss: 0.9750229146863733
Output window: 19, Loss: 0.9785109651940209
Output window: 20, Loss: 0.9826191871293953
Output window: 21, Loss: 0.9874807122562613
Output window: 22, Loss: 0.9922558165022305
Output window: 23, Loss: 0.99735992242183
Output window: 24, Loss: 1.0029340125620365
