Output window: 1, Loss: 0.38440144221697536
Output window: 2, Loss: 0.5834031929927213
Output window: 3, Loss: 0.6933664823217052
Output window: 4, Loss: 0.7681805156171322
Output window: 5, Loss: 0.8232288073216166
Output window: 6, Loss: 0.8639016593141216
Output window: 7, Loss: 0.8945582104580743
Output window: 8, Loss: 0.9156911128333637
Output window: 9, Loss: 0.9281297767800945
Output window: 10, Loss: 0.9381110588354724
Output window: 11, Loss: 0.9459625764616898
Output window: 12, Loss: 0.9549350467111383
Output window: 13, Loss: 0.9621661560876029
Output window: 14, Loss: 0.968082743031638
Output window: 15, Loss: 0.9713582726461547
Output window: 16, Loss: 0.9747360455138343
Output window: 17, Loss: 0.9776308100138392
Output window: 18, Loss: 0.9807691190923963
Output window: 19, Loss: 0.9839446065681321
Output window: 20, Loss: 0.9879479525344712
Output window: 21, Loss: 0.9926899416106088
Output window: 22, Loss: 0.9972296421016965
Output window: 23, Loss: 1.003032420362745
Output window: 24, Loss: 1.0085832311638765
