Output window: 1, Loss: 0.31812294918511597
Output window: 2, Loss: 0.5270376240036317
Output window: 3, Loss: 0.6603879630565643
Output window: 4, Loss: 0.7545698056263583
Output window: 5, Loss: 0.8262401116745812
Output window: 6, Loss: 0.8854939219142709
Output window: 7, Loss: 0.9319566355219909
Output window: 8, Loss: 0.9658819947923932
Output window: 9, Loss: 0.9906473266226905
Output window: 10, Loss: 1.0097152117107595
Output window: 11, Loss: 1.0259734764695168
Output window: 12, Loss: 1.0404603502580099
Output window: 13, Loss: 1.0526717661746912
Output window: 14, Loss: 1.061639126922403
Output window: 15, Loss: 1.0686491232897555
Output window: 16, Loss: 1.0748264124350888
Output window: 17, Loss: 1.0794121649648463
Output window: 18, Loss: 1.082636729414974
Output window: 19, Loss: 1.085751838449921
Output window: 20, Loss: 1.0889252184757165
Output window: 21, Loss: 1.0921936556696892
Output window: 22, Loss: 1.0950165401612009
Output window: 23, Loss: 1.097358264029026
Output window: 24, Loss: 1.0999684355088644
