Output window: 1, Loss: 0.35053120606711935
Output window: 2, Loss: 0.5486004224845341
Output window: 3, Loss: 0.6775812187365123
Output window: 4, Loss: 0.770929676081453
Output window: 5, Loss: 0.8420963074479785
Output window: 6, Loss: 0.8999169160212789
Output window: 7, Loss: 0.9465606244547027
Output window: 8, Loss: 0.9844112960355622
Output window: 9, Loss: 1.012177482779537
Output window: 10, Loss: 1.0347464201705796
Output window: 11, Loss: 1.0521809171353067
Output window: 12, Loss: 1.0668140420956271
Output window: 13, Loss: 1.079100298030036
Output window: 14, Loss: 1.0884084015020303
Output window: 15, Loss: 1.095885449222156
Output window: 16, Loss: 1.1024221724697523
Output window: 17, Loss: 1.1067393720149994
Output window: 18, Loss: 1.1118114090391569
Output window: 19, Loss: 1.1166851946285792
Output window: 20, Loss: 1.1204393516693796
Output window: 21, Loss: 1.1250708103179932
Output window: 22, Loss: 1.1306985052568572
Output window: 23, Loss: 1.134339057973453
Output window: 24, Loss: 1.138992568211896
