Output window: 1, Loss: 0.34310362621077467
Output window: 2, Loss: 0.5468742655856269
Output window: 3, Loss: 0.6647649790559497
Output window: 4, Loss: 0.7439333306891578
Output window: 5, Loss: 0.7999498918652534
Output window: 6, Loss: 0.8422306988920484
Output window: 7, Loss: 0.8741703672068459
Output window: 8, Loss: 0.897412291594914
Output window: 9, Loss: 0.912805616323437
Output window: 10, Loss: 0.92393805246268
Output window: 11, Loss: 0.9334538249032838
Output window: 12, Loss: 0.9438443322266851
Output window: 13, Loss: 0.9530054980090686
Output window: 14, Loss: 0.959467743656465
Output window: 15, Loss: 0.963197394141129
Output window: 16, Loss: 0.9675800486334732
Output window: 17, Loss: 0.9711114758891719
Output window: 18, Loss: 0.9750589946550983
Output window: 19, Loss: 0.9783345274627209
Output window: 20, Loss: 0.9824537656136921
Output window: 21, Loss: 0.9874112531542778
Output window: 22, Loss: 0.9922307021915913
Output window: 23, Loss: 0.9978478987302098
Output window: 24, Loss: 1.0029128608959061
