Output window: 1, Loss: 0.38444316999188494
Output window: 2, Loss: 0.5834522838039058
Output window: 3, Loss: 0.6937391060803618
Output window: 4, Loss: 0.7680874562689236
Output window: 5, Loss: 0.8230239147586482
Output window: 6, Loss: 0.8637011178902217
Output window: 7, Loss: 0.8950778150132724
Output window: 8, Loss: 0.9153609547231879
Output window: 9, Loss: 0.9284400503550257
Output window: 10, Loss: 0.9379784092307091
Output window: 11, Loss: 0.9458566531538963
Output window: 12, Loss: 0.9545497676091534
Output window: 13, Loss: 0.962442219789539
Output window: 14, Loss: 0.9682103118726185
Output window: 15, Loss: 0.9717075053070273
Output window: 16, Loss: 0.9746629579791001
Output window: 17, Loss: 0.9773463676018375
Output window: 18, Loss: 0.9807433060237339
Output window: 19, Loss: 0.9839485037539687
Output window: 20, Loss: 0.9874514117836952
Output window: 21, Loss: 0.9923904788281236
Output window: 22, Loss: 0.9974858824695859
Output window: 23, Loss: 1.002825369792325
Output window: 24, Loss: 1.0084823316761427
