Output window: 1, Loss: 0.31905967130192686
Output window: 2, Loss: 0.5280747850026403
Output window: 3, Loss: 0.6609410930957113
Output window: 4, Loss: 0.7538371490580695
Output window: 5, Loss: 0.8226304629019329
Output window: 6, Loss: 0.8771132081747055
Output window: 7, Loss: 0.9223997023488794
Output window: 8, Loss: 0.9597520993224212
Output window: 9, Loss: 0.9910871892103127
Output window: 10, Loss: 1.0200001171657018
Output window: 11, Loss: 1.0502031711595399
Output window: 12, Loss: 1.084836884800877
Output window: 13, Loss: 1.1228686986224992
Output window: 14, Loss: 1.1620237029024534
Output window: 15, Loss: 1.2005640864372253
Output window: 16, Loss: 1.2392821971859251
Output window: 17, Loss: 1.276772522500583
Output window: 18, Loss: 1.3159092324120658
Output window: 19, Loss: 1.3554040789604187
Output window: 20, Loss: 1.3955821064966065
Output window: 21, Loss: 1.4343788804752486
Output window: 22, Loss: 1.4747577788574355
Output window: 23, Loss: 1.513834406222616
Output window: 24, Loss: 1.5500774074878012
