Output window: 1, Loss: 0.38056821934878826
Output window: 2, Loss: 0.5677734107843467
Output window: 3, Loss: 0.6965261213481426
Output window: 4, Loss: 0.7906394978719098
Output window: 5, Loss: 0.8607107486043658
Output window: 6, Loss: 0.9168276137539318
Output window: 7, Loss: 0.9638247356883117
Output window: 8, Loss: 1.003756083548069
Output window: 9, Loss: 1.0359325472797667
Output window: 10, Loss: 1.0638419288609708
Output window: 11, Loss: 1.0943284875580244
Output window: 12, Loss: 1.1264426984957285
Output window: 13, Loss: 1.1633305443184716
Output window: 14, Loss: 1.2013991070645196
Output window: 15, Loss: 1.2392542968903268
Output window: 16, Loss: 1.2767819240689278
Output window: 17, Loss: 1.3158893808722496
Output window: 18, Loss: 1.3536395877599716
Output window: 19, Loss: 1.39123419459377
Output window: 20, Loss: 1.4267433509230614
Output window: 21, Loss: 1.4609627212796892
Output window: 22, Loss: 1.4951859372002738
Output window: 23, Loss: 1.5301944794399398
Output window: 24, Loss: 1.5638456685202462
