Output window: 1, Loss: 0.41428366942065104
Output window: 2, Loss: 0.5757099560328892
Output window: 3, Loss: 0.682353036744254
Output window: 4, Loss: 0.7559949819530759
Output window: 5, Loss: 0.8091714616332736
Output window: 6, Loss: 0.850243344370808
Output window: 7, Loss: 0.8840494640171528
Output window: 8, Loss: 0.9101724252104759
Output window: 9, Loss: 0.9307475941521781
Output window: 10, Loss: 0.9491182060113975
Output window: 11, Loss: 0.9683866053819656
Output window: 12, Loss: 0.9910414346626827
Output window: 13, Loss: 1.0145400054752827
Output window: 14, Loss: 1.0371335574558802
Output window: 15, Loss: 1.058612482888358
Output window: 16, Loss: 1.0802838179681982
Output window: 17, Loss: 1.1016731507011823
Output window: 18, Loss: 1.1241380646824837
Output window: 19, Loss: 1.1460370240466935
Output window: 20, Loss: 1.1696184841649873
Output window: 21, Loss: 1.1941670743482453
Output window: 22, Loss: 1.2199433520436287
Output window: 23, Loss: 1.2457134372421674
Output window: 24, Loss: 1.271309765321868
