Output window: 1, Loss: 0.5109640804252454
Output window: 2, Loss: 0.6380552660141673
Output window: 3, Loss: 0.7280538475939206
Output window: 4, Loss: 0.7923611631350858
Output window: 5, Loss: 0.8403181332562651
Output window: 6, Loss: 0.8755007615046841
Output window: 7, Loss: 0.9048208956207547
Output window: 8, Loss: 0.9278679463480201
Output window: 9, Loss: 0.9456674972815173
Output window: 10, Loss: 0.9622212744184903
Output window: 11, Loss: 0.9803962654301098
Output window: 12, Loss: 1.0017116266701902
Output window: 13, Loss: 1.0233572497963905
Output window: 14, Loss: 1.0416749444391047
Output window: 15, Loss: 1.0570564530789852
Output window: 16, Loss: 1.0705532681729113
Output window: 17, Loss: 1.0827386916748114
Output window: 18, Loss: 1.095435961016587
Output window: 19, Loss: 1.1066132262349129
Output window: 20, Loss: 1.1177752230848585
Output window: 21, Loss: 1.1281364251460348
Output window: 22, Loss: 1.1389258046235358
Output window: 23, Loss: 1.1498367115855217
Output window: 24, Loss: 1.1620984045522553
