Output window: 1, Loss: 0.31464233888047083
Output window: 2, Loss: 0.7462803556450776
Output window: 3, Loss: 0.9114804502044406
Output window: 4, Loss: 0.9889333147023406
Output window: 5, Loss: 1.0190368230853761
Output window: 6, Loss: 1.0309786860431944
Output window: 7, Loss: 1.039413274931056
Output window: 8, Loss: 1.0469550399907999
Output window: 9, Loss: 1.0537480754511697
Output window: 10, Loss: 1.059236351932798
Output window: 11, Loss: 1.062979192073856
Output window: 12, Loss: 1.065980470606259
Output window: 13, Loss: 1.0678589072610651
Output window: 14, Loss: 1.0684871183974403
Output window: 15, Loss: 1.0689418294600077
Output window: 16, Loss: 1.068926427513361
Output window: 17, Loss: 1.0681740503226007
Output window: 18, Loss: 1.0673233249357768
Output window: 19, Loss: 1.0660340328301703
Output window: 20, Loss: 1.0655107668467931
Output window: 21, Loss: 1.0649334091160978
Output window: 22, Loss: 1.0641828440129757
Output window: 23, Loss: 1.063947376928159
Output window: 24, Loss: 1.0630617594080312
