Output window: 1, Loss: 0.4064718088401215
Output window: 2, Loss: 0.7664769829383918
Output window: 3, Loss: 0.9286213879074369
Output window: 4, Loss: 1.020521795111043
Output window: 5, Loss: 1.0629579345030444
Output window: 6, Loss: 1.0844524555972643
Output window: 7, Loss: 1.093623117676803
Output window: 8, Loss: 1.0950395241379738
Output window: 9, Loss: 1.093493684061936
Output window: 10, Loss: 1.0945739629013198
Output window: 11, Loss: 1.098345476601805
Output window: 12, Loss: 1.1060165369084902
Output window: 13, Loss: 1.1160128861665726
Output window: 14, Loss: 1.1236389577388763
Output window: 15, Loss: 1.1279176707778658
Output window: 16, Loss: 1.1278345904179983
Output window: 17, Loss: 1.1231780073472433
Output window: 18, Loss: 1.1160560005477496
Output window: 19, Loss: 1.1068106474620956
Output window: 20, Loss: 1.0981527343392372
Output window: 21, Loss: 1.089851255927767
Output window: 22, Loss: 1.0816665680280753
Output window: 23, Loss: 1.0748546974999564
Output window: 24, Loss: 1.0696775482169218
