Output window: 1, Loss: 0.47422575152346064
Output window: 2, Loss: 0.8047004783792155
Output window: 3, Loss: 0.9421282133885792
Output window: 4, Loss: 1.0046189171927316
Output window: 5, Loss: 1.0311366553817476
Output window: 6, Loss: 1.0442579787756716
Output window: 7, Loss: 1.0515372875545705
Output window: 8, Loss: 1.0552285191203867
Output window: 9, Loss: 1.0569646401064736
Output window: 10, Loss: 1.057736684169088
Output window: 11, Loss: 1.0575116643948215
Output window: 12, Loss: 1.0566443944615977
Output window: 13, Loss: 1.0563702860048838
Output window: 14, Loss: 1.055797061749867
Output window: 15, Loss: 1.05458707681724
Output window: 16, Loss: 1.054049864411354
Output window: 17, Loss: 1.0531476065516472
Output window: 18, Loss: 1.0530642451984542
Output window: 19, Loss: 1.0526504878486906
Output window: 20, Loss: 1.0531380229762621
Output window: 21, Loss: 1.0530641376972198
Output window: 22, Loss: 1.0532565276537622
Output window: 23, Loss: 1.0537642980260509
Output window: 24, Loss: 1.0536560080945492
