Output window: 1, Loss: 0.6467680627746242
Output window: 2, Loss: 0.8432729925428119
Output window: 3, Loss: 0.9594455685998712
Output window: 4, Loss: 1.0118026552455766
Output window: 5, Loss: 1.0347145167844636
Output window: 6, Loss: 1.047335013215031
Output window: 7, Loss: 1.0575355940631457
Output window: 8, Loss: 1.0661564080842905
Output window: 9, Loss: 1.0747384583311421
Output window: 10, Loss: 1.0832537455218179
Output window: 11, Loss: 1.0927833606089865
Output window: 12, Loss: 1.1028565402541841
Output window: 13, Loss: 1.1141403668693133
Output window: 14, Loss: 1.127387530037335
Output window: 15, Loss: 1.1408823345388686
Output window: 16, Loss: 1.1547269342201096
Output window: 17, Loss: 1.1681626385876112
Output window: 18, Loss: 1.1800753378442355
Output window: 19, Loss: 1.1896915073905672
Output window: 20, Loss: 1.196038885840348
Output window: 21, Loss: 1.198489775615079
Output window: 22, Loss: 1.1970483575548445
Output window: 23, Loss: 1.1918969633323806
Output window: 24, Loss: 1.1843008558665002
