Output window: 1, Loss: 0.3147525579801628
Output window: 2, Loss: 0.7461933477648667
Output window: 3, Loss: 0.9112125677721841
Output window: 4, Loss: 0.9889410228601524
Output window: 5, Loss: 1.0188351986663682
Output window: 6, Loss: 1.0313761585525103
Output window: 7, Loss: 1.03966566494533
Output window: 8, Loss: 1.046797191458089
Output window: 9, Loss: 1.0538797447724002
Output window: 10, Loss: 1.058669305805649
Output window: 11, Loss: 1.0631566159427166
Output window: 12, Loss: 1.0662087521382742
Output window: 13, Loss: 1.0677816005689758
Output window: 14, Loss: 1.0682596181120192
Output window: 15, Loss: 1.0685855522751808
Output window: 16, Loss: 1.0683579998356956
Output window: 17, Loss: 1.0681654124387674
Output window: 18, Loss: 1.0674251493598734
Output window: 19, Loss: 1.0665493192417281
Output window: 20, Loss: 1.0654898615820068
Output window: 21, Loss: 1.0647440627217293
Output window: 22, Loss: 1.064214687794447
Output window: 23, Loss: 1.0636684750871999
Output window: 24, Loss: 1.0632878659026963
