Output window: 1, Loss: 0.31553677895239424
Output window: 2, Loss: 0.5213554498872587
Output window: 3, Loss: 0.6872709686202663
Output window: 4, Loss: 0.8936329031629222
Output window: 5, Loss: 1.1971396984798568
Output window: 6, Loss: 1.6068871361868722
Output window: 7, Loss: 2.0546404400042126
Output window: 8, Loss: 2.454097494482994
Output window: 9, Loss: 2.7625925902809416
Output window: 10, Loss: 2.9835225556577956
Output window: 11, Loss: 3.1244925622429167
Output window: 12, Loss: 3.220895222255162
Output window: 13, Loss: 3.27439315191337
Output window: 14, Loss: 3.298293797033174
Output window: 15, Loss: 3.298761574285371
Output window: 16, Loss: 3.2935447756733214
Output window: 17, Loss: 3.279882686478751
Output window: 18, Loss: 3.262958518096379
Output window: 19, Loss: 3.250412751521383
Output window: 20, Loss: 3.240061119198799
Output window: 21, Loss: 3.2342150679656436
Output window: 22, Loss: 3.231555551290512
Output window: 23, Loss: 3.2353501341172626
Output window: 24, Loss: 3.2456820969070708
