Output window: 1, Loss: 0.31864605125572
Output window: 2, Loss: 0.5274071712046862
Output window: 3, Loss: 0.6606522410043648
Output window: 4, Loss: 0.7529847957193851
Output window: 5, Loss: 0.827940322458744
Output window: 6, Loss: 0.9009116770965713
Output window: 7, Loss: 0.9810495956667832
Output window: 8, Loss: 1.069974715688399
Output window: 9, Loss: 1.1674022429755755
Output window: 10, Loss: 1.2798036709427834
Output window: 11, Loss: 1.4077345665012087
Output window: 12, Loss: 1.5457705951162748
Output window: 13, Loss: 1.684370359139783
Output window: 14, Loss: 1.8177274870021003
Output window: 15, Loss: 1.9360251863087927
Output window: 16, Loss: 2.04240334885461
Output window: 17, Loss: 2.140160359442234
Output window: 18, Loss: 2.2301319731133327
Output window: 19, Loss: 2.3126092489276613
Output window: 20, Loss: 2.39186815065997
Output window: 21, Loss: 2.4666819466011867
Output window: 22, Loss: 2.537003383040428
Output window: 23, Loss: 2.6073566057852338
Output window: 24, Loss: 2.6761438633714403
