Output window: 1, Loss: 0.31910083309880327
Output window: 2, Loss: 0.5277559028140136
Output window: 3, Loss: 0.660870937364442
Output window: 4, Loss: 0.7535101803285735
Output window: 5, Loss: 0.8222302783812795
Output window: 6, Loss: 0.8772110236542565
Output window: 7, Loss: 0.9228301697543689
Output window: 8, Loss: 0.9596416327570166
Output window: 9, Loss: 0.9909682768796172
Output window: 10, Loss: 1.0201540270021983
Output window: 11, Loss: 1.050867039178099
Output window: 12, Loss: 1.08494039571711
Output window: 13, Loss: 1.1232166237064771
Output window: 14, Loss: 1.1627883804695947
Output window: 15, Loss: 1.2005833483168058
Output window: 16, Loss: 1.2385138017790658
Output window: 17, Loss: 1.276683431650911
Output window: 18, Loss: 1.3156195282936096
Output window: 19, Loss: 1.354715577193669
Output window: 20, Loss: 1.3965162283607893
Output window: 21, Loss: 1.4356388822197914
Output window: 22, Loss: 1.4753305848155702
Output window: 23, Loss: 1.5132642622504915
Output window: 24, Loss: 1.5510023055332047
