Output window: 1, Loss: 0.309701250067779
Output window: 2, Loss: 0.5118789380150182
Output window: 3, Loss: 0.6334997325071267
Output window: 4, Loss: 0.7152879759669304
Output window: 5, Loss: 0.772609507398946
Output window: 6, Loss: 0.8166803520705018
Output window: 7, Loss: 0.8503208394561496
Output window: 8, Loss: 0.8747538418642112
Output window: 9, Loss: 0.8918083938104766
Output window: 10, Loss: 0.9051940377269473
Output window: 11, Loss: 0.9176863000861236
Output window: 12, Loss: 0.9307955604578767
Output window: 13, Loss: 0.9429928979703358
Output window: 14, Loss: 0.9520084841975144
Output window: 15, Loss: 0.959434164421899
Output window: 16, Loss: 0.966272847460849
Output window: 17, Loss: 0.972739578889949
Output window: 18, Loss: 0.9785575393055167
Output window: 19, Loss: 0.9841253837304456
Output window: 20, Loss: 0.9902364180556366
Output window: 21, Loss: 0.9965193324855396
Output window: 22, Loss: 1.0033007099160127
Output window: 23, Loss: 1.010472219969545
Output window: 24, Loss: 1.0175473977412497
