Output window: 1, Loss: 0.3205093001680715
Output window: 2, Loss: 0.5297195235533374
Output window: 3, Loss: 0.6628255125667367
Output window: 4, Loss: 0.7576459986822945
Output window: 5, Loss: 0.8293032034167221
Output window: 6, Loss: 0.887536283582449
Output window: 7, Loss: 0.9352072695536273
Output window: 8, Loss: 0.9722296787159783
Output window: 9, Loss: 0.9992569961718151
Output window: 10, Loss: 1.020461070750441
Output window: 11, Loss: 1.0389018947524684
Output window: 12, Loss: 1.0561448213245188
Output window: 13, Loss: 1.0714519007929735
Output window: 14, Loss: 1.0835203028150968
Output window: 15, Loss: 1.0930001235433988
Output window: 16, Loss: 1.1011570543050766
Output window: 17, Loss: 1.1080643321786607
Output window: 18, Loss: 1.1140500605106354
Output window: 19, Loss: 1.1188529378601484
Output window: 20, Loss: 1.1228337926524026
Output window: 21, Loss: 1.1253002349819456
Output window: 22, Loss: 1.128574708742755
Output window: 23, Loss: 1.1330008740936006
Output window: 24, Loss: 1.1365195885300636
