Output window: 1, Loss: 0.31796917638608385
Output window: 2, Loss: 0.5271746194256204
Output window: 3, Loss: 0.6610117655779634
Output window: 4, Loss: 0.7545500530728272
Output window: 5, Loss: 0.8259389714470932
Output window: 6, Loss: 0.8851596239422049
Output window: 7, Loss: 0.9317961782217026
Output window: 8, Loss: 0.966029911168984
Output window: 9, Loss: 0.9907640000539166
Output window: 10, Loss: 1.0097813361457415
Output window: 11, Loss: 1.026592183325972
Output window: 12, Loss: 1.040655715657132
Output window: 13, Loss: 1.0526977133538042
Output window: 14, Loss: 1.0623254313000612
Output window: 15, Loss: 1.0688458015876157
Output window: 16, Loss: 1.074929101658719
Output window: 17, Loss: 1.0795722401567869
Output window: 18, Loss: 1.082574830523559
Output window: 19, Loss: 1.085846547037363
Output window: 20, Loss: 1.089436239962067
Output window: 21, Loss: 1.0922562990869795
Output window: 22, Loss: 1.0948982233447688
Output window: 23, Loss: 1.0971851742693357
Output window: 24, Loss: 1.0996641835996084
