Output window: 1, Loss: 0.29747692681849003
Output window: 2, Loss: 0.5099081482206073
Output window: 3, Loss: 0.6331408992409706
Output window: 4, Loss: 0.7147688035454068
Output window: 5, Loss: 0.7726911343634129
Output window: 6, Loss: 0.8168475452278342
Output window: 7, Loss: 0.8520396048469203
Output window: 8, Loss: 0.8778020755520889
Output window: 9, Loss: 0.8959114508969444
Output window: 10, Loss: 0.9085590355098248
Output window: 11, Loss: 0.9195314086973667
Output window: 12, Loss: 0.9300195920680251
Output window: 13, Loss: 0.9397048449942044
Output window: 14, Loss: 0.9461770754839692
Output window: 15, Loss: 0.9513971119054726
Output window: 16, Loss: 0.9551239599074636
Output window: 17, Loss: 0.9582796538514751
Output window: 18, Loss: 0.960924935660192
Output window: 19, Loss: 0.9635868743062019
Output window: 20, Loss: 0.9669177260782037
Output window: 21, Loss: 0.9709599603499685
Output window: 22, Loss: 0.9748588348073619
Output window: 23, Loss: 0.9795490923736777
Output window: 24, Loss: 0.9834239482879639
