Output window: 1, Loss: 0.2976440859160253
Output window: 2, Loss: 0.5103173543299947
Output window: 3, Loss: 0.6352067483322961
Output window: 4, Loss: 0.7184903611029897
Output window: 5, Loss: 0.778146565492664
Output window: 6, Loss: 0.8237865258540426
Output window: 7, Loss: 0.8592596091330051
Output window: 8, Loss: 0.8841317264097077
Output window: 9, Loss: 0.9023603961936065
Output window: 10, Loss: 0.9154626806931836
Output window: 11, Loss: 0.9267130462186677
Output window: 12, Loss: 0.9378665105572769
Output window: 13, Loss: 0.9477234381650176
Output window: 14, Loss: 0.954478705567973
Output window: 15, Loss: 0.9591660616653306
Output window: 16, Loss: 0.9631462671927044
Output window: 17, Loss: 0.9659717865288258
Output window: 18, Loss: 0.968846150806972
Output window: 19, Loss: 0.9714096066142831
Output window: 20, Loss: 0.9750757637832846
Output window: 21, Loss: 0.9784318070326533
Output window: 22, Loss: 0.9822756302143846
Output window: 23, Loss: 0.9872263329369682
Output window: 24, Loss: 0.9918907502932208
