Output window: 1, Loss: 0.2968077827244997
Output window: 2, Loss: 0.5093496401927301
Output window: 3, Loss: 0.6338014932615417
Output window: 4, Loss: 0.7159090393355915
Output window: 5, Loss: 0.7749677385602679
Output window: 6, Loss: 0.8196605970816953
Output window: 7, Loss: 0.8544910864106247
Output window: 8, Loss: 0.878992133374725
Output window: 9, Loss: 0.8964785906885352
Output window: 10, Loss: 0.9088436753622123
Output window: 11, Loss: 0.9200162083974907
Output window: 12, Loss: 0.9300874088491712
Output window: 13, Loss: 0.9400769530662468
Output window: 14, Loss: 0.9468631542154721
Output window: 15, Loss: 0.9522648639976978
Output window: 16, Loss: 0.9563708826899529
Output window: 17, Loss: 0.9604281511689935
Output window: 18, Loss: 0.964576680213213
Output window: 19, Loss: 0.9680416216807706
Output window: 20, Loss: 0.9722379978213992
Output window: 21, Loss: 0.9768540417509419
Output window: 22, Loss: 0.9816058916704995
Output window: 23, Loss: 0.9869020591889109
Output window: 24, Loss: 0.9922893675310271
