Output window: 1, Loss: 0.2974579278379679
Output window: 2, Loss: 0.5097973503704581
Output window: 3, Loss: 0.6335149524467332
Output window: 4, Loss: 0.7149204952376229
Output window: 5, Loss: 0.7726219158087458
Output window: 6, Loss: 0.8171384414391858
Output window: 7, Loss: 0.8520813919603825
Output window: 8, Loss: 0.8775219411722252
Output window: 9, Loss: 0.8959344519036156
Output window: 10, Loss: 0.9086989499628544
Output window: 11, Loss: 0.9193880834749767
Output window: 12, Loss: 0.9304527768066951
Output window: 13, Loss: 0.9396423340908119
Output window: 14, Loss: 0.9461159126034805
Output window: 15, Loss: 0.9511987699994019
Output window: 16, Loss: 0.9550395049154758
Output window: 17, Loss: 0.9580448631729398
Output window: 18, Loss: 0.9607784253145967
Output window: 19, Loss: 0.9631900138088635
Output window: 20, Loss: 0.967289465878691
Output window: 21, Loss: 0.9709732575075967
Output window: 22, Loss: 0.9750800457383905
Output window: 23, Loss: 0.9793204212827342
Output window: 24, Loss: 0.9836612455546856
