Output window: 1, Loss: 0.29757512280983583
Output window: 2, Loss: 0.5101129103984151
Output window: 3, Loss: 0.6350320263632706
Output window: 4, Loss: 0.7183217677686896
Output window: 5, Loss: 0.7781387163060052
Output window: 6, Loss: 0.8238646467881543
Output window: 7, Loss: 0.859452199190855
Output window: 8, Loss: 0.884642807500703
Output window: 9, Loss: 0.902381992233651
Output window: 10, Loss: 0.9153883542333331
Output window: 11, Loss: 0.9266296923160553
Output window: 12, Loss: 0.9379535892180034
Output window: 13, Loss: 0.9476239814289978
Output window: 14, Loss: 0.9543829421911921
Output window: 15, Loss: 0.9592129359287875
Output window: 16, Loss: 0.9629305925752435
Output window: 17, Loss: 0.966276400323425
Output window: 18, Loss: 0.9689362714333194
Output window: 19, Loss: 0.9714565202593803
Output window: 20, Loss: 0.9749025824878897
Output window: 21, Loss: 0.9786664721156869
Output window: 22, Loss: 0.9824527007128511
Output window: 23, Loss: 0.9870016840951783
Output window: 24, Loss: 0.9918162551309381
