Output window: 1, Loss: 0.29674803039857317
Output window: 2, Loss: 0.5093119434480157
Output window: 3, Loss: 0.6340288248445306
Output window: 4, Loss: 0.7157434177185807
Output window: 5, Loss: 0.7745231815746852
Output window: 6, Loss: 0.8195335125284535
Output window: 7, Loss: 0.8544982756887164
Output window: 8, Loss: 0.8793290172304425
Output window: 9, Loss: 0.89654662247215
Output window: 10, Loss: 0.9090240778667587
Output window: 11, Loss: 0.9195764884352684
Output window: 12, Loss: 0.9305310041776725
Output window: 13, Loss: 0.9400240353175572
Output window: 14, Loss: 0.9468608791274684
Output window: 15, Loss: 0.9521620507751193
Output window: 16, Loss: 0.9569884980363506
Output window: 17, Loss: 0.9608043198074613
Output window: 18, Loss: 0.9639109170862606
Output window: 19, Loss: 0.9680488391646317
Output window: 20, Loss: 0.9722428236688886
Output window: 21, Loss: 0.977243039224829
Output window: 22, Loss: 0.98189352825284
Output window: 23, Loss: 0.987151775509119
Output window: 24, Loss: 0.9923437338854585
