Output window: 1, Loss: 0.29736070042209967
Output window: 2, Loss: 0.5099261131669793
Output window: 3, Loss: 0.6334852996681418
Output window: 4, Loss: 0.7148244460778577
Output window: 5, Loss: 0.7726997498955045
Output window: 6, Loss: 0.8170948571392468
Output window: 7, Loss: 0.8517829350062779
Output window: 8, Loss: 0.8779481761157513
Output window: 9, Loss: 0.8957619374351842
Output window: 10, Loss: 0.9087565488048962
Output window: 11, Loss: 0.9196129930870873
Output window: 12, Loss: 0.9301418305507728
Output window: 13, Loss: 0.9398895390331745
Output window: 14, Loss: 0.9463671722582409
Output window: 15, Loss: 0.9514808048095021
Output window: 16, Loss: 0.9550642562764031
Output window: 17, Loss: 0.9579575881361961
Output window: 18, Loss: 0.9608590118587017
Output window: 19, Loss: 0.9637640491127968
Output window: 20, Loss: 0.9669128693640232
Output window: 21, Loss: 0.9707580426973956
Output window: 22, Loss: 0.974883853324822
Output window: 23, Loss: 0.9791534947497504
Output window: 24, Loss: 0.9835689573415688
