Output window: 1, Loss: 0.2977205663919449
Output window: 2, Loss: 0.510093467310071
Output window: 3, Loss: 0.6351154074072838
Output window: 4, Loss: 0.718539010733366
Output window: 5, Loss: 0.7784026121454579
Output window: 6, Loss: 0.8237926598106112
Output window: 7, Loss: 0.8591387500720364
Output window: 8, Loss: 0.8846794010273048
Output window: 9, Loss: 0.9018737620541027
Output window: 10, Loss: 0.9153840041586331
Output window: 11, Loss: 0.9267259580748421
Output window: 12, Loss: 0.9378323693360601
Output window: 13, Loss: 0.9475836354706969
Output window: 14, Loss: 0.9540905766189098
Output window: 15, Loss: 0.9589282481798104
Output window: 16, Loss: 0.9628743124859673
Output window: 17, Loss: 0.9662459045648575
Output window: 18, Loss: 0.968815130846841
Output window: 19, Loss: 0.9712415587689195
Output window: 20, Loss: 0.9747390092483589
Output window: 21, Loss: 0.9783697607261794
Output window: 22, Loss: 0.9826737461345536
Output window: 23, Loss: 0.987197716321264
Output window: 24, Loss: 0.99164708171572
