Output window: 1, Loss: 0.2968629151582718
Output window: 2, Loss: 0.5092607917530196
Output window: 3, Loss: 0.6336476440940585
Output window: 4, Loss: 0.7159897168832166
Output window: 5, Loss: 0.7743379356605666
Output window: 6, Loss: 0.8199251783745629
Output window: 7, Loss: 0.8544845847146851
Output window: 8, Loss: 0.8794693196458476
Output window: 9, Loss: 0.8963529877364635
Output window: 10, Loss: 0.9090199119278363
Output window: 11, Loss: 0.9196934444563729
Output window: 12, Loss: 0.9303348303905555
Output window: 13, Loss: 0.9398185381931918
Output window: 14, Loss: 0.9466879048517772
Output window: 15, Loss: 0.9522281805319446
Output window: 16, Loss: 0.9567687761570726
Output window: 17, Loss: 0.9606124625674316
Output window: 18, Loss: 0.9638759036149297
Output window: 19, Loss: 0.9677870885602066
Output window: 20, Loss: 0.9724479903067861
Output window: 21, Loss: 0.9770113123314721
Output window: 22, Loss: 0.981660391071013
Output window: 23, Loss: 0.9871634750493935
Output window: 24, Loss: 0.9925061874091625
