Output window: 1, Loss: 0.2974875063768455
Output window: 2, Loss: 0.5099823009222746
Output window: 3, Loss: 0.6334511430135795
Output window: 4, Loss: 0.7147656572716576
Output window: 5, Loss: 0.7728555873036385
Output window: 6, Loss: 0.8172400897102696
Output window: 7, Loss: 0.851913649056639
Output window: 8, Loss: 0.8778150794761521
Output window: 9, Loss: 0.8954907602497509
Output window: 10, Loss: 0.9090375511773995
Output window: 11, Loss: 0.9194913080760411
Output window: 12, Loss: 0.9305285880608218
Output window: 13, Loss: 0.9394705976758685
Output window: 14, Loss: 0.9463329208748681
Output window: 15, Loss: 0.9512127978461129
Output window: 16, Loss: 0.9550525375774929
Output window: 17, Loss: 0.9580714175743716
Output window: 18, Loss: 0.9610530090119157
Output window: 19, Loss: 0.9637586921453476
Output window: 20, Loss: 0.9670490420290402
Output window: 21, Loss: 0.9703975883977753
Output window: 22, Loss: 0.9746609170522008
Output window: 23, Loss: 0.9794070475867817
Output window: 24, Loss: 0.9837005287408829
