Output window: 1, Loss: 0.2974958794989756
Output window: 2, Loss: 0.5099490111959832
Output window: 3, Loss: 0.6348127350211143
Output window: 4, Loss: 0.7183667554387024
Output window: 5, Loss: 0.77825141325593
Output window: 6, Loss: 0.8238912288631711
Output window: 7, Loss: 0.8592047494437013
Output window: 8, Loss: 0.8849345791552748
Output window: 9, Loss: 0.9024668133684567
Output window: 10, Loss: 0.9153029077819416
Output window: 11, Loss: 0.9265111498534679
Output window: 12, Loss: 0.9378900496023042
Output window: 13, Loss: 0.9475210474005767
Output window: 14, Loss: 0.9546349500971181
Output window: 15, Loss: 0.9594306631812027
Output window: 16, Loss: 0.9629781267472676
Output window: 17, Loss: 0.9658221075577396
Output window: 18, Loss: 0.968949272696461
Output window: 19, Loss: 0.9715681592268604
Output window: 20, Loss: 0.9747020384030682
Output window: 21, Loss: 0.9783068485558033
Output window: 22, Loss: 0.9827906952372619
Output window: 23, Loss: 0.9874444875333991
Output window: 24, Loss: 0.9912890419363976
