Output window: 1, Loss: 0.2966907766780683
Output window: 2, Loss: 0.5092031737523419
Output window: 3, Loss: 0.6338696974728789
Output window: 4, Loss: 0.7158983195466655
Output window: 5, Loss: 0.7746661614094462
Output window: 6, Loss: 0.8198579869100026
Output window: 7, Loss: 0.8549285871641976
Output window: 8, Loss: 0.879462153251682
Output window: 9, Loss: 0.8963729765798364
Output window: 10, Loss: 0.9091566258243152
Output window: 11, Loss: 0.9194945150188037
Output window: 12, Loss: 0.9303938741130489
Output window: 13, Loss: 0.939887705125979
Output window: 14, Loss: 0.946891049189227
Output window: 15, Loss: 0.9522603308515889
Output window: 16, Loss: 0.956768162548542
Output window: 17, Loss: 0.960626729364906
Output window: 18, Loss: 0.9641792151544776
Output window: 19, Loss: 0.9679507160825389
Output window: 20, Loss: 0.9724289514124393
Output window: 21, Loss: 0.9767539958868708
Output window: 22, Loss: 0.9818034906472478
Output window: 23, Loss: 0.986895030098302
Output window: 24, Loss: 0.9924491851457528
